ID x y RA DEC sed e(4405-5495) wfpc2_f336w
H596 511.5 488.762 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.87
H159 511.5 507.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.07
H52 511.5 514.507 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.52
H69 511.5 529.21 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.02
J133 511.5 969.383 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 19.281
H791 511.5 453.615 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.23
H524 511.5 495.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.02
J130 511.5 948.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.105
H465 511.5 254.492 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.96
