ID x y RA DEC sed e(4405-5495) wfpc2_f336w
J5 511.5 147.296 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 20.297
H123 511.5 475.082 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.76
H139 511.5 491.401 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.8
H80 511.5 508.829 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.13
H62 511.5 513.561 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.72
H50 511.5 528.541 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.62
H36 511.5 547.466 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.36
H269 511.5 604.38 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.2
H224 511.5 622.615 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.56
H847 511.5 445.985 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.5
J147 511.5 89.143 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.893
H486 511.5 600.516 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.23
H735 511.5 574.465 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.01
H577 511.5 482.79 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.38
J128 511.5 924.742 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.119
H66 511.5 520.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.95
H342 511.5 372.815 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.29
