ID x y RA DEC sed e(4405-5495) wfpc2_f336w
H330 511.5 251.737 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.62
H901 511.5 387.715 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.97
H134 511.5 484.194 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.83
H116 511.5 494.287 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.64
H77 511.5 517.981 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.97
H94 511.5 525.441 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.32
H277 511.5 577.452 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.07
J130 511.5 948.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.105
J131 511.5 961.271 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 20.034
J185 511.5 134.231 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 20.667
H366 511.5 654.461 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.55
H159 511.5 507.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.07
