ID x y RA DEC sed e(4405-5495) wfpc2_f336w
J3 511.5 107.849 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.585
J6 511.5 171.763 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.823
H169 511.5 224.395 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.28
H615 511.5 239.342 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.56
H405 511.5 314.762 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.64
H887 511.5 394.65 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.65
H940 511.5 419.471 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.67
H145 511.5 473.758 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.93
H223 511.5 491.768 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.49
H203 511.5 498.241 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.51
H24 511.5 525.33 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 12.84
H70 511.5 531.331 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.93
H129 511.5 596.894 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.97
J135 511.5 999.681 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.594
H740 511.5 405.008 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.14
H78 511.5 503.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.11
H112 511.5 540.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.63
H331 511.5 546.842 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.3
H429 511.5 539.942 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.72
H47 511.5 553.747 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.64
H21 511.5 519.213 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 12.81
