ID x y RA DEC sed e(4405-5495) wfpc2_f336w
H913 511.5 358.489 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.56
H477 511.5 374.878 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.06
H355 511.5 440.375 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.36
H216 511.5 470.726 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.55
H45 511.5 558.568 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.51
H3586 511.5 566.903 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.83
H222 511.5 571.74 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.76
H366 511.5 654.461 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.55
H366 511.5 654.461 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.55
H114 511.5 510.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.51
H728 511.5 371.599 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.04
H214 511.5 339.561 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.5
J129 511.5 943.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.211
