ID x y RA DEC sed e(4405-5495) wfpc2_f336w
H931 511.5 362.454 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 19.62
H90 511.5 508.785 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.3
H21 511.5 519.213 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 12.81
H47 511.5 553.747 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.64
H412 511.5 560.419 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.67
J148 511.5 136.98 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 20.831
J187 511.5 58.241 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 19.728
H112 511.5 540.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.63
H70 511.5 531.331 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.93
H24 511.5 525.33 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 12.84
H78 511.5 503.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.11
H203 511.5 498.241 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.51
H145 511.5 473.758 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.93
