ID x y RA DEC sed e(4405-5495) wfpc2_f336w
H465 511.5 254.492 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.96
H171 511.5 384.653 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.26
H120 511.5 459.546 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.76
H3571 511.5 465.024 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.09
H68 511.5 607.865 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.13
J146 511.5 169.903 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 19.832
H724 511.5 582.392 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.14
H796 511.5 500.088 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.88
H73 511.5 530.979 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.16
H187 511.5 508.644 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.12
H123 511.5 475.082 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.76
