ID x y RA DEC sed e(4405-5495) wfpc2_f336w
H342 511.5 372.815 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.29
H1102 511.5 447.793 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 19.12
H622 511.5 453.104 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.64
H233 511.5 498.717 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.71
H66 511.5 520.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.95
H143 511.5 539.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.89
H48 511.5 542.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.61
H46 511.5 553.168 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.64
H551 511.5 604.303 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.27
H558 511.5 682.826 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.62
H663 511.5 757.372 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.06
J128 511.5 924.742 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.119
H320 511.5 480.01 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.1
H50 511.5 528.541 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.62
H62 511.5 513.561 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.72
H162 511.5 488.18 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.04
H204 511.5 367.529 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.54
