ID x y RA DEC sed e(4405-5495) wfpc2_f336w
H556 511.5 432.278 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.23
H562 511.5 465.681 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.25
H529 511.5 476.566 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.13
H31 511.5 515.586 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.14
H9 511.5 546.26 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 12.29
J129 511.5 943.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.211
H121 511.5 497.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.81
H380 511.5 489.157 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.47
H163 511.5 632.474 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.28
H214 511.5 339.561 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.5
