ID x y RA DEC sed e(4405-5495) wfpc2_f336w
411 511.5 486.037 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.67
523 511.5 612.308 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.24
591 511.5 463.017 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.56
802 511.5 579.187 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.38
186 511.5 128.559 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 21.193
177 511.5 572.462 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.35
47 511.5 553.747 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.64
35 511.5 514.906 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.35
