ID x y RA DEC sed e(4405-5495) wfpc2_f336w
1109 511.5 231.608 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.99
877 511.5 351.797 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.42
498 511.5 441.865 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.05
491 511.5 488.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.84
35 511.5 514.906 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.35
135 511.5 533.708 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.89
177 511.5 572.462 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.35
576 511.5 597.603 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.4
407 511.5 780.811 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.62
401 511.5 842.368 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.4
132 511.5 960.776 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.969
1014 511.5 602.008 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.9
743 511.5 566.911 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.29
625 511.5 438.46 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.47
