ID x y RA DEC sed e(4405-5495) wfpc2_f336w
453 511.5 358.357 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.0
446 511.5 408.555 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.84
334 511.5 482.473 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.22
179 511.5 537.777 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.13
490 511.5 575.403 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.09
134 511.5 988.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.784
805 511.5 593.634 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.52
92 511.5 516.215 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.28
391 511.5 489.86 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.44
504 511.5 412.804 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.97
