ID x y RA DEC sed e(4405-5495) wfpc2_f336w
4 511.5 144.716 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.217
138 511.5 218.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.37
504 511.5 412.804 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.97
64 511.5 561.874 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.01
293 511.5 525.745 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.18
134 511.5 988.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.784
42 511.5 498.961 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 13.35
349 511.5 447.517 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 16.31
