    wfc3_x        wfc3_y      wfc3_cts    slit_num        stis_x        stis_y 
 76.500000    448.946000     22964.170           2      0.221000    397.204317 
 93.733000    405.374000      3852.051           4      1.454000    353.442526 
 90.545000    384.354000      3559.096           4     -1.734000    332.422526 
126.713000    375.633000      1303.196           8      2.434000    323.321944 
123.819000    320.424000       354.464           8     -0.460000    268.112944 
108.565000    333.608000      3382.177           6      0.286000    281.486735 
135.433000    287.194000       460.677           9      3.154000    234.788048 
117.249000    305.594000       217.841           7      0.970000    253.377839 
164.386000    340.974000       369.879          13      0.107000    289.754376 
118.942000     89.810000        77.867           7      2.663000     37.593839 
 94.809000    185.258000       136.950           4      2.530000    133.326526 
 75.444000    262.067000        89.592           2     -0.835000    210.325317 
 85.280000    218.580000        78.105           3      1.001000    166.743422 
149.050000    597.628000       268.410          11      0.771000    545.032257 
155.502000    600.433000       284.625          12     -0.777000    547.742361 
149.356000    521.567000      8711.124          11      1.077000    468.971257 
152.574000    499.645000      6263.061          11      4.295000    447.049257 
161.351000    495.793000      4391.407          13     -2.928000    444.573376 
