ID x y RA DEC sed e(4405-5495) wfpc2_f336w
786 511.5 388.372 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 18.4
71 511.5 503.0 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 14.01
163 511.5 632.474 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 15.28
853 511.5 685.281 0.0 0.0 kurucz_30000_ms_z0.fits 0.4 17.53
